;filename;s_y;s_x;n_y;n_x;alias;img_mean;img_std;img_kurtosis;img_skewness;img_mode;img_std2;|img_mean|;|img_std|;|img_kurtosis|;|img_skewness|;|img_mode|;|img_std2|;class
4;..\data\Crystals_Apr_12\Tileset7\Tile_001-001-000_0-000.tif;1;0;4;4;img0_1-0;8982.867158;380.4109772772114;0.16851965254370782;0.03367826270631971;8987.80078125;0.04234850305433086;0.7389354833926363;-0.29757537371317677;-0.6308250834811604;0.3609991217210186;0.31458987418110446;-0.3085658089509033;A
5;..\data\Crystals_Apr_12\Tileset7\Tile_001-001-000_0-000.tif;1;1;4;4;img0_1-1;8987.344405;363.8579051198365;0.21651827686733816;-0.020537250952732462;8916.2802734375;0.04048558603333467;0.7591236414473358;-0.3273343959536231;-0.6222571875627323;0.2797687268677379;-0.015464713086932973;-0.33668306376299456;A
6;..\data\Crystals_Apr_12\Tileset7\Tile_001-001-000_0-000.tif;1;2;4;4;img0_1-2;8797.202393;1338.360765471729;3.1286879023956713;-0.9851041978708028;9034.44775390625;0.15213481578378518;-0.09823736434349155;1.4246214959120505;-0.10242632574257514;-1.1654293109727862;0.5298574635517601;1.3484536369519;C
7;..\data\Crystals_Apr_12\Tileset7\Tile_001-001-000_0-000.tif;1;3;4;4;img0_1-3;8576.054603;1344.0960415452134;1.13992488819704;-1.062260852559025;8965.533203125;0.1567266189134376;-1.0954051636556057;1.4349323437476216;-0.4574263856856389;-1.2810321173078334;0.21182891047579444;1.417758333397453;C
8;..\data\Crystals_Apr_12\Tileset7\Tile_001-001-000_0-000.tif;2;0;4;4;img0_2-0;8953.257068;445.64312507660594;3.729673031721412;0.2634143085153445;8927.955078125;0.049774414125713776;0.6054219254107451;-0.18030137655432402;0.004851291254690312;0.7052096336873223;0.03841246089328724;-0.1964855437255902;A
9;..\data\Crystals_Apr_12\Tileset7\Tile_001-001-000_0-000.tif;2;1;4;4;img0_2-1;9003.103396;367.73650803974743;0.10615853815389409;-0.0016744296929241667;9054.09521484375;0.040845527576983016;0.8301818165023526;-0.32036146491954526;-0.6419567262100557;0.3080306451927569;0.6205270464298906;-0.3312504180862666;A
10;..\data\Crystals_Apr_12\Tileset7\Tile_001-001-000_0-000.tif;2;2;4;4;img0_2-2;8677.844652;1654.9801612735419;0.5831980773500356;-0.5639199030178402;9181.29833984375;0.19071327358828846;-0.6364281186975622;1.9938381072964773;-0.5568037623823969;-0.5343743920419508;1.2075471362640657;1.9307234407710088;C
11;..\data\Crystals_Apr_12\Tileset7\Tile_001-001-000_0-000.tif;2;3;4;4;img0_2-3;8016.20884;1879.2693452046344;-1.0358517063209145;-0.12954621068115993;9550.76611328125;0.23443368089754438;-3.6197811361440673;2.3970639707156254;-0.8458089209410156;0.11644202859145808;2.9125760461600603;2.590601373576305;C
12;..\data\Crystals_Apr_12\Tileset7\Tile_001-001-000_0-000.tif;3;0;4;4;img0_3-0;8869.601137;365.12608679921397;0.1316811141547909;0.11466927735620408;8848.72802734375;0.04116600974040102;0.22821263647922305;-0.3250544658933469;-0.6374008711657227;0.48234689942448583;-0.32720646919908375;-0.3264133380929045;A
13;..\data\Crystals_Apr_12\Tileset7\Tile_001-001-000_0-000.tif;3;1;4;4;img0_3-1;8860.820693;331.3968043780744;0.8164358199420176;0.10481653585817881;8850.9013671875;0.03740023817882649;0.1886211215901831;-0.3856927846405885;-0.5151701378580077;0.4675846657342353;-0.31717688737616617;-0.383250630021397;A
14;..\data\Crystals_Apr_12\Tileset7\Tile_001-001-000_0-000.tif;3;2;4;4;img0_3-2;8910.330683;582.0145129648861;16.15929802768495;-2.5317379703697336;8907.76220703125;0.06531906992804547;0.41186444575935277;0.06486635584873825;2.223575989539004;-3.4827304588247854;-0.05477409410261434;0.038132017461697545;B
15;..\data\Crystals_Apr_12\Tileset7\Tile_001-001-000_0-000.tif;3;3;4;4;img0_3-3;7971.281127;1630.6887428987206;-0.6902186564571329;-0.5323625146655624;8936.69140625;0.2045704720380916;-3.822362716092646;1.950167128713434;-0.7841124027817677;-0.4870923699160598;0.07872908142252605;2.139871983300552;C
16;..\data\Crystals_Apr_12\Tileset7\Tile_001-002-000_0-000.tif;0;0;4;4;img1_0-0;9003.509456;375.6342138897681;0.08890522437342607;0.12736989583747638;8938.52001953125;0.041720866260593854;0.8320127638366579;-0.30616301270446467;-0.6450364935742686;0.5013760699420351;0.08716781068040663;-0.3180388147048099;A
17;..\data\Crystals_Apr_12\Tileset7\Tile_001-002-000_0-000.tif;0;1;4;4;img1_0-1;8899.186381;339.9948858278942;0.23481415641630532;0.10780573616356652;8844.92724609375;0.03820516519957289;0.36161416245238304;-0.3702352010175775;-0.6189913191358641;0.4720633454462673;-0.34474640739490287;-0.3711017592491704;A
18;..\data\Crystals_Apr_12\Tileset7\Tile_001-002-000_0-000.tif;0;2;4;4;img1_0-2;8801.439761;296.8785799535946;0.2451228522610691;0.02480018186213106;8785.11962890625;0.03373068361713856;-0.07913083416547957;-0.4477494589897758;-0.6171511865425392;0.3476972093376361;-0.6207480607676027;-0.43863570595069273;A
19;..\data\Crystals_Apr_12\Tileset7\Tile_001-002-000_0-000.tif;0;3;4;4;img1_0-3;8667.739178;258.8974904433882;0.18601255870602218;-0.023839832474672248;8677.88427734375;0.02986909101977921;-0.6819942682375861;-0.5160316531773389;-0.6277025481705858;0.27482051217868414;-1.115620381770865;-0.4969192375394357;A
20;..\data\Crystals_Apr_12\Tileset7\Tile_001-002-000_0-000.tif;1;0;4;4;img1_1-0;8984.572511;1937.5000826291994;1.8387562897295169;0.20899127668023848;9349.46533203125;0.21564744235266367;0.7466250158001793;2.5017508707436162;-0.3326829206961263;0.6236683170656692;1.9836082814682365;2.307058172148751;C
21;..\data\Crystals_Apr_12\Tileset7\Tile_001-002-000_0-000.tif;1;1;4;4;img1_1-1;9127.51224;992.7043760486716;9.262559666086796;-0.4525881436581017;9173.53564453125;0.1087595776314918;1.3911482778287092;0.8032023368219803;0.9924878637546817;-0.3675674734655734;1.1717236602315464;0.6937853882228168;B
22;..\data\Crystals_Apr_12\Tileset7\Tile_001-002-000_0-000.tif;1;2;4;4;img1_1-2;8849.636162;909.1576137545733;9.072748126240983;-1.6819508900971987;8885.94384765625;0.10273389742941764;0.13818944346395295;0.6530024262803198;0.9586059444198629;-2.2095055935978714;-0.155461992142437;0.6028389940740894;B
23;..\data\Crystals_Apr_12\Tileset7\Tile_001-002-000_0-000.tif;1;3;4;4;img1_1-3;8679.861399;445.73455656787803;8.822653641812623;-1.6916721813728557;8698.3671875;0.051352727431711154;-0.6273344932638241;-0.18013700152131656;0.9139633417921826;-2.2240708771396154;-1.021095347421377;-0.17266385070444235;A
24;..\data\Crystals_Apr_12\Tileset7\Tile_001-002-000_0-000.tif;2;0;4;4;img1_2-0;8708.025767;2520.6005254671086;0.4557186020613422;0.5593078811975143;9823.45703125;0.2894571735213733;-0.5003397769359946;3.550045645384371;-0.579559224469081;1.148543102676921;4.170996758410481;3.4210782790522725;C
25;..\data\Crystals_Apr_12\Tileset7\Tile_001-002-000_0-000.tif;2;1;4;4;img1_2-1;8670.050606;2181.6405565255313;0.3344135585565824;0.15985742867285355;9429.880859375;0.2516295066392985;-0.67157190963283;2.940665274269436;-0.6012125322831032;0.550051715378551;2.354711822245169;2.8501402626604095;C
26;..\data\Crystals_Apr_12\Tileset7\Tile_001-002-000_0-000.tif;2;2;4;4;img1_2-2;8753.346575;1501.8407464803877;2.166681794463236;-0.9431494431102527;9120.66552734375;0.17157332154192556;-0.2959857095659005;1.7185249081881164;-0.27414725153584757;-1.1025690507785526;0.9277373513971555;1.641841594336962;C
